Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1465635600.0 4.27 NA 75 241 0 NA NA 103 298 0 NA NA 168 5458 875 NA NA 203 5674 1008 NA
1465635600.0 4.29 NA 48 238 0 152 NA 85 294 0 191 NA 192 4783 865 783 NA 289 5038 1005 849
1465635600.0 4.34 NA 77 246 0 NA NA 115 300 0 NA NA 206 4986 962 NA NA 309 5347 1004 NA
1465635600.0 4.36 NA 74 243 0 NA NA 103 297 0 NA NA 182 5669 886 NA NA 283 5943 1027 NA
1465635600.0 4.37 NA 75 245 0 NA NA 103 299 0 NA NA 183 7074 942 NA NA 210 7454 1076 NA
1465635600.0 4.4 NA 47 243 0 NA NA 89 300 0 NA NA 198 6838 841 NA NA 247 7282 975 NA
1465635600.0 4.41 NA 48 244 0 NA NA 88 298 0 NA NA 226 9849 862 NA NA 321 10290 898 NA
1465635600.0 4.42 NA 49 246 0 NA NA 89 304 0 NA NA 248 12376 855 NA NA 288 12851 885 NA
1465635600.0 4.44 NA 50 247 0 NA NA 88 296 0 NA NA 218 8419 839 NA NA 327 8874 977 NA
1465635600.0 4.45 NA 52 257 0 NA NA 87 304 0 NA NA 243 13523 881 NA NA 367 13921 1012 NA
1465635600.0 4.51 NA 52 254 0 NA NA 89 304 0 NA NA 240 11129 863 NA NA 398 11374 996 NA
1465635600.0 4.52 NA 45 248 0 NA NA 86 306 0 NA NA 249 14478 909 NA NA 344 14956 942 NA
1465635600.0 4.53 NA 52 246 0 NA NA 87 302 0 NA NA 240 13055 884 NA NA 258 13339 926 NA
1465635600.0 4.54 NA 52 259 0 NA NA 87 308 0 NA NA 245 13434 866 NA NA 282 13732 896 NA
1465635600.0 4.55 NA 52 261 0 NA NA 86 304 0 NA NA 245 17009 910 NA NA 279 17229 1045 NA
1465635600.0 4.58 NA 58 254 0 NA NA 97 300 0 NA NA 176 8399 885 NA NA 216 8795 1024 NA
1465635600.0 4.61 NA 52 261 0 NA NA 87 308 0 NA NA 251 13213 893 NA NA 374 13418 932 NA
1465635600.0 4.62 NA 47 250 0 NA NA 87 304 0 NA NA 238 13043 854 NA NA 346 13307 886 NA
1465635600.0 4.63 NA 43 248 0 NA NA 86 304 0 NA NA 252 15286 907 NA NA 296 15555 1047 NA
1465635600.0 4.64 NA 52 248 0 NA NA 86 306 0 NA NA 254 14325 884 NA NA 274 14612 1018 NA
1465635600.0 4.65 NA 45 260 0 NA NA 85 312 0 NA NA 276 21402 888 NA NA 320 21667 1126 NA
1465635600.0 4.67 NA 73 257 0 NA NA 102 314 0 NA NA 242 16784 894 NA NA 274 17073 1026 NA
1465635600.0 4.68 NA 62 257 0 NA NA 96 305 0 NA NA 239 15953 886 NA NA 255 16422 937 NA
1465635600.0 4.71 NA 47 249 0 NA NA 88 299 0 NA NA 218 9155 832 NA NA 331 9632 876 NA
1465635600.0 4.72 NA 52 248 0 NA NA 87 303 0 NA NA 239 11456 880 NA NA 270 11665 910 NA
1465635600.0 4.73 NA 53 251 0 NA NA 89 309 0 NA NA 272 14315 850 NA NA 321 14796 1014 NA
1465635600.0 4.74 NA 52 245 0 NA NA 88 301 0 NA NA 242 11538 851 NA NA 368 11762 887 NA
1465635600.0 4.75 NA 52 246 0 NA NA 89 305 0 NA NA 261 13645 850 NA NA 300 13894 979 NA
1465635600.0 4000.0 NA 89 226 NA NA NA 158 274 NA NA NA 4470 5573 NA NA NA 4638 5907 NA NA
1465635600.0 4006.0 53 98 231 NA NA 93 164 293 NA NA 2885 1119 1768 NA NA 2910 1887 2414 NA NA
1465635600.0 4007.0 57 0 NA NA NA 99 0 NA NA NA 1087 0 NA NA NA 1196 0 NA NA NA
1465635600.0 4008.0 56 0 NA NA NA 98 0 NA NA NA 1563 0 NA NA NA 1586 0 NA NA NA
1465635600.0 43.0 NA 102 224 0 NA NA 159 271 0 NA NA 4037 4425 1164 NA NA 4254 4576 1298 NA
1465635600.0 45.0 NA 89 229 0 NA NA 159 272 0 NA NA 3948 3306 1068 NA NA 4203 3540 1111 NA
